capteur;lat;lon;alt
GW367;-20.955224567585926;164.77658350553986;610
GW368;-20.962654645985243;164.78353579130646;549
GW263;-20.97557424858897;164.788857293992;673
GW126;-20.979271224759795;164.80386585444649;655
GW190;-20.979271224759795;164.80386585444649;655
GW268;-20.98525763531416;164.79910225123604;777
GW273;-20.988799682172722;164.80013221949775;816
GW255;-20.988487151861403;164.8009690687104;830
GW264;-20.98746140691363;164.80126947612007;830
GW266;-20.985746474131677;164.80244964808662;803
GW269;-20.994099596986796;164.80897278041084;737
GW365;-20.993755024367545;164.81270641535957;723
GW364;-20.993755024367545;164.81270641535957;723
GW271;-20.988041417449946;164.81403679103096;806
GW270;-20.987296148045047;164.8172125265046;785
GW370;-21.00427591282139;164.83585142580137;816
GW366;-21.011230822138163;164.83698868242368;876
GW377;-21.011230822138163;164.83698868242368;876
GW369;-21.004690044128694;164.79636804776896;557
GW225;-21.006551859212923;164.6701739947573;4
GW232;-21.0134906381585;164.6785639445559;9
GW204;-21.012136559846134;164.6800445239321;18
GW205;-21.011703893095486;164.6807097117678;23
GW200;-21.012793569489403;164.68094574616111;19
GW227;-21.009837002083565;164.68431460068382;43
GW234;-21.012328855233555;164.68532311127342;20
GW203;-21.013498649685346;164.68577372238792;15
GW202;-21.013706968182426;164.68669640228904;13
GW201;-21.013706968182426;164.68669640228904;13
GW082;-21.009484453137137;164.68934642479576;8
GW215;-21.01267338435881;164.69021546051658;6
GW220;-21.017444635320008;164.68664275810875;8
GW221;-21.019291400932683;164.68435751602806;10
GW212;-21.018771631598813;164.69197812819039;5
GW235;-21.00546842854627;164.7087685590608;5
GW236;-21.00499567887848;164.7110216146333;7
GW071;-21.011734221461314;164.71164388712475;32
GW231;-20.994995472979802;164.71501274164746;10
GW219;-20.99716704881954;164.7303120618684;19
GW361;-20.997936307881737;164.73024768885205;18
GW362;-20.997343337488232;164.73185701426098;18
GW239;-20.997343337488232;164.73185701426098;18
GW214;-21.018487744716637;164.69864322001456;27
GW211;-21.016609853768273;164.6988095576471;19
GW223;-21.012731950196194;164.7007192904657;14
GW222;-21.014262291784785;164.70400231429994;36
GW218;-21.011866618893848;164.70166342803896;18
