capteur;lat;lon;alt
RG012;-20.9703686;164.7594797222222;100
RG009;-20.956314656039403;164.78196938124177;698
RG010;-20.970140457134494;164.79297716703888;798	
RG023;-20.9654678796625;164.79696829405304;732
RG028;-20.976741366003864;164.8031828718738;710
RG019;-20.988911872459745;164.7983941480561;817
RG024;-20.98784909015843;164.8147448942109;812
RG004;-20.99704846194624;164.82579559535225;915
RG011;-21.011214797617818;164.83312630144223;814
RG018;-21.002435466389276;164.77312041380856;542
RG026;-20.99851789324561;164.7912119475527;672
RG017;-21.00960858261462;164.750096652906;330
RG027;-21.017829149295395;164.74041924278026;83
RG007;-21.010472463730878;164.7021569544977;26
